Product,Sales_volume(kg),Brand,Price(TL),Price(TL/Sales_volume),Quality_Score,Delivery_Time,Fav_number,Comment_Count,Store
un,1.0,KARA KILÇIK ADANA,136.0,136.0,4.7,2.5,209,20.0,TRENDYOL
un,1.0,İpek Değirmen,114.9,114.9,4.8,4.0,145,314.0,TRENDYOL
un,2.0,Efsane,34.5,17.25,4.2,5.0,292,45.0,BİM
organik un,0.3,Değirmenden,115.0,383.33,5.0,5.0,24,12.0,TRENDYOL
organik un,2.0,Söke,84.95,42.48,5.0,4.0,266,45.0,Migros
organik un,1.0,Makarna Lütfen,239.91,239.91,4.8,1.0,262,145.27509293680296,TRENDYOL
organik un,0.8,OG Natural,185.0,231.25,4.8,3.0,221,145.27509293680296,TRENDYOL
organik un,1.0,Soul Kitchen,122.68,122.68,4.8,2.0,300,50.0,TRENDYOL
organik un,1.0,Makarna Lütfen,239.91,239.91,4.8,4.0,0,0.0,TRENDYOL
organik un,5.0,Değirmenden,387.0,77.4,4.9,5.0,0,0.0,TRENDYOL
organik un,2.0,Makarna Lütfen,214.91,107.45,4.7,3.0,1200,0.0,TRENDYOL
organik un,0.5,Soul Kitchen,153.3,306.6,4.7,2.0,234,0.0,TRENDYOL
organik un,1.0,Değirmenden,290.0,290.0,4.9,4.0,223,36.0,TRENDYOL
organik un,0.25,Essen,90.28,361.12,4.7,5.0,270,121.0,TRENDYOL
organik un,0.32,Wefood,155.94,487.31,4.8,2.0,419,223.0,TRENDYOL
organik un,1.0,İpek Değirmen,199.9,199.9,4.6,1.0,199,217.0,TRENDYOL
organik un,1.0,OG Natural,189.0,189.0,4.8,2.0,420,1050.0,TRENDYOL
organik un,0.3,OG Natural,124.9,416.33,4.8,3.0,282,2641.0,TRENDYOL
organik un,0.32,Lotus Natura,161.5,504.69,4.8,3.0,129,25.0,TRENDYOL
organik un,0.5,Soul Kitchen,123.22,246.44,4.8,4.0,356,344.0,TRENDYOL
organik un,0.25,Makarna Lütfen,214.91,859.64,4.7,1.0,57,2287.0,TRENDYOL
organik un,0.5,BIF Mochi,108.2,216.4,4.7,2.0,4,289.0,TRENDYOL
organik un,0.5,Wefood,101.94,203.88,4.7,3.0,267,662.0,TRENDYOL
mor un,5.0,İpek Değirmen,199.9,39.98,4.7,5.0,115,305.0,TRENDYOL
mor un,0.5,Söke,46.95,93.9,5.0,4.0,149,0.0,Migros
mor un,6.0,Kappadokia,489.99,81.67,4.9,2.0,244,0.0,n11
mor un,3.0,Söke,425.0,141.67,4.9,5.0,238,0.0,PttAVM
mor un,25.0,Özkaşıkçı,710.71,28.43,4.1,1.0,61,0.0,PttAVM
mor un,1.0,Sinangil,62.9,62.9,4.0,2.0,272,0.0,Carrefour
mor un,6.0,Kappadokia,385.87,64.31,4.7,4.0,0,0.0,PttAVM
mor un,0.5,Devrekani,179.0,358.0,5.0,2.0,135,5.0,Amazon
mor un,1.0,Kappadokia,105.38,105.38,3.0,3.0,0,0.0,PttAVM
mor un,10.0,NORA UN,892.99,89.3,5.0,2.0,4,0.0,TRENDYOL
yumurta,30.0,Yiltav,79.9,2.66,2.4,2.0,0,0.0,Kooperatif
yumurta,30.0,Raya,226.9,7.56,3.0,2.0,0,0.0,Exporigin
yumurta,30.0,Kozlu,95.0,3.17,2.0,4.0,0,0.0,Kooperatif
yumurta,30.0,Kumbasar,141.4,4.71,2.5,2.0,0,0.0,Carrefour
yumurta,30.0,Türem,125.0,4.17,4.0,3.0,0,0.0,Kooperatif
yumurta,30.0,Kozlu Yeniana,125.0,4.17,3.0,4.0,0,0.0,Kooperatif
yumurta,30.0,Abalı Çifiği,125.0,4.17,3.0,1.0,0,0.0,Şok
yumurta,30.0,CP,124.95,4.17,5.0,3.0,0,0.0,GetirBüyük
yumurta,30.0,Carrefour,109.0,3.63,2.4,4.0,5,5.0,Carrefour
yumurta,30.0,Altıntaş,99.9,3.33,3.0,2.0,0,0.0,Migros
yumurta,30.0,Bili Bili,179.78,5.99,2.0,4.0,0,0.0,PttAVM
yumurta,30.0,Dedefarm,114.85,3.83,2.5,3.0,0,0.0,Carrefour
yumurta,30.0,Seltav,125.0,4.17,4.0,2.0,0,5.0,Kooperatif
yumurta,30.0,Yiltav,125.0,4.17,3.0,4.0,0,0.0,Kooperatif
yumurta,30.0,Kumbasar,118.7,3.96,4.5,2.0,6,0.0,Carrefour
yumurta,30.0,Freelife,103.45,3.45,4.6,5.0,6,45.0,Carrefour
yumurta,30.0,Muubaş,131.95,4.4,2.0,2.0,9,0.0,Migros
yumurta,30.0,Bilken,153.95,5.13,4.7,4.0,8,0.0,Migros
yumurta,30.0,Bilken,125.0,4.17,4.9,2.0,4,0.0,Migros
yumurta,30.0,Gires,125.0,4.17,4.5,4.0,1,23.0,Migros
yumurta,30.0,Yiltav,79.9,2.66,4.7,2.0,7,0.0,Kooperatif
yumurta,30.0,Carrefour,109.0,3.63,5.0,4.0,9,0.0,Carrefour
yumurta,30.0,Kozlu,95.0,3.17,4.0,3.0,5,0.0,Kooperatif
yumurta,30.0,Kumbasar,141.4,4.71,4.6,3.0,2,0.0,Carrefour
yumurta,30.0,Freelife,103.45,3.45,5.0,3.0,10,0.0,Carrefour
yumurta,30.0,Türem,125.0,4.17,3.0,2.0,8,0.0,Kooperatif
yumurta,30.0,Kozlu,125.0,4.17,2.0,4.0,9,0.0,Kooperatif
yumurta,10.0,Yumtat,39.75,3.98,3.0,2.0,8,0.0,Hakmar Express
