"Product","Sales volume(KG/lt)","Brand","Price(TL)","Price per Liter/kg","Quality_Score","Delivery_Time","fav_number","Comment Count","Store"
"Toz Şeker","2","Yazar","487.6","243.80","5","1","1316","14","n11 "
"Toz Şeker","1","Yazar","89.25","89.25","3","2","1526","18","PttAVM "
"Toz Şeker","1","Aktar","462.4","462.40","4","5","1544","34","n11 "
"Toz Şeker","1","Tarım Kredi","103.88","103.88","5","4","716","46","Amazon "
"Toz Şeker","1","Tito","1,677.38","1677.38","4","4","1148","37","Amazon"
"Toz Şeker","1","Tito","1,677.38","1677.38","4","3","1576","26","Amazon"
"Toz Şeker","1","Yazar","266.17","266.17","5","3","1235","8","PttAVM"
"Toz Şeker","1","Doğuş","42.5","42.50","5","1","642","16","A101"
"Toz Şeker","1","Balküpü","160.75","160.75","3","3","1206","58","PttAVM "
"Toz Şeker","1","Albeyaz","42.5","42.50","4","5","1172","48","A101"
"Toz Şeker","1","Tito","1,677.38","1677.38","5","2","883","1","Amazon"
"Toz Şeker","1","Bor","23.9","23.90","4","4","1295","26","CarrefourSA "
"Toz Şeker","6","Yazar","919.6","153.27","4","2","368","3","PttAVM "
"Toz Şeker","1","Başak","42.7","42.70","5","2","572","44","Listensi"
"Toz Şeker","1","Tatküpü","30.9","30.90","5","4","670","8","CarrefourSA "
"Toz Şeker","1","Irmak","26.9","26.90","3","2","165","61","CarrefourSA "
"Toz Şeker","6","Yazar","919.6","153.27","4","3","905","64","PttAVM"
"Toz Şeker","1","Başak","42.7","42.70","5","1","710","42","Listensi"
"Toz Şeker","1","Tatküpü","30.9","30.90","4","2","1591","2","CarrefourSA "
"Toz Şeker","1","Irmak","26.9","26.90","4","4","108","26","CarrefourSA "
"Toz Şeker","1","Nar","39.95","39.95","5","4","1468","59","Migros"
"Toz Şeker","1","Migros","36.5","36.50","3","1","485","21","Migros"
"Toz Şeker","1","Aktar Store","312.8","312.80","2","2","332","22","n11"
"Toz Şeker","1","Tito","1,677.38","1677.38","3","2","254","28","Amazon"
"Toz Şeker","1","Dr, Gusto","92.5","92.50","4.6","4","243","2447","TRENDYOL"
"Toz Şeker","1","Irmak","69","69.00","4.8","4","10","0","TRENDYOL"
"Toz Şeker","1","Bal Küpü","74.95","74.95","4.7","3","134","602","TRENDYOL"
"Toz Şeker","1","Hanzade Bitkisel","179","179.00","4.7","5","1226","945","TRENDYOL"
"Toz Şeker","1","Dr, Gusto","99","99.00","5","2","5","0","TRENDYOL"
"Toz Şeker","1","Doğal Hayat","295","295.00","5","2","95","104","TRENDYOL"
"Toz Şeker","1","Payitaht Hurma","440","440.00","4.5","4","10","163","TRENDYOL"
"Toz Şeker","1","Organikmarketten","105","105.00","5","2","1450","203","TRENDYOL"
"Toz Şeker","6","Yazar","267.09","44.51","5","3","6","0","n11 "
"Toz Şeker","1","Topçuoğlu","82.9","82.90","4.7","1","2668","23","n11 "
"Toz Şeker","1","Balküpü","84","84.00","4.6","1","2615","125","n11 "
"Toz Şeker","5","Balküpü","325","65.00","4.5","1","1647","0","n11 "
"Toz Şeker","12","Balküpü","699","58.25","5","2","2446","","n11 "
"Toz Şeker","3","Balküpü","199","66.33","4.7","2","1334","","n11 "
"Toz Şeker","1","Hanzade Bitkisel","179","179.00","5","4","3649","8","n11 "
"Toz Şeker","12","Yazar","525.2","43.77","3","2","621","","n11 "
"Toz Şeker","5","Şafak","165.00","33.00","4","3","2149","","BİM"
"Çay","3","Lipton","479","159.66666666667","4.8","3","10300","1278","TRENDYOL"
"Çay","1","Çaykur","220","220","4.8","1","23100","2818","TRENDYOL"
"Çay","1","LAZiKA","419","419","5","2","0","3","TRENDYOL"
"Çay","10","Çaykur","1800","180","4.8","4","12000","6048","TRENDYOL"
"Çay","5","Çaykur","925","185","4.8","4","26200","7888","TRENDYOL"
"Çay","1","Pınar Ergül","649","649","4.7","2","1734","34","TRENDYOL"
"Çay","5","Çaykur","909","181.8","4.7","4","979","75","TRENDYOL"
"Çay","3","Lipton","490","163.33333333333","4.8","4","5979","750","TRENDYOL"
"Çay","1","Berk","96.5","96.5","4.5","4","4896","","BİM"
"Çay","1","Çaykur","139.9","139.9","5","3","2359","","BİM"
"Çay","1","Lipton","119.9","119.9","5","1","3861","","BİM"
"Çay","1","Berk","94.9","94.9","4.9","3","4736","","BİM"
"Çay","1","Doğuş","129.9","129.9","4.9","1","1648","","BİM"
"Çay","1","Ofçay","104.9","104.9","4.9","5","4477","","BİM"
"Çay","0.5","Çaykur","74.9","149.8","4.9","1","2557","","BİM"
"Çay","1","Çaykur","134.9","134.9","5","4","4586","","BİM"
"Çay","1","Berk","94.9","94.9","4","1","3990","","BİM"
"Çay","0.5","Berk","54.9","109.8","4.6","2","3362","","BİM"
"Çay","0.5","Berk","54.9","109.8","4.7","5","4157","","BİM"
"Çay","0.5","Berk","49.9","99.8","4.2","4","2924","","BİM"
"Çay","1","Berk","94.9","94.9","4.9","3","316","","BİM"
"Çay","1","Çaykur","191.35","191.35","5","2","885","347","Migros"
"Çay","1","Çaykur","134.56","134.56","5","4","4684","","PttAVM"
"Çay","1","Lipton","169.33","169.33","3","2","2608","0","Amazon"
"Çay","1","Çaykur","189.9","189.9","3.6","5","4749","","Pazarama"
"Çay","1","Lipton","144.9","144.9","3.6","2","589","","Pazarama"
"Çay","1","Doğuş","167.5","167.5","4","2","4503","","Listensi"
"Çay","1","Doğadan","73.5","73.5","4","2","1404","","Exporgin"
"Çay","1","Ofçay","124.9","124.9","5","1","4661","12","Carrefour"
"Çay","1","Lipton","189","189","5","1","283","","Migros"
"Çay","1","Tirebolu","144.32","144.32","5","5","3673","","Smallman"
"Çay","1","Alice Suntat","999","999","2.5","5","557","100","n11"
"Çay","1","Mevlana","675","675","5","4","1668","","n11"
"Çay","1","Herdem","99","99","2.2","5","2987","","Hakmar"
"Çay","1","Ofçay","599.9","599.9","3.6","1","1312","","Pazarama"
"Çay","1","Yeşil İnci","290","290","4","2","4956","145","n11"
"Çay","1","Çaykur","182.16","182.16","3","2","4849","","PttAVM"
"Çay","1","Karali","169.9","169.9","2.5","1","2787","","Hoppibebe"
"Çay","1","Çaykur","162.5","162.5","5","5","2752","3","A101"
"Çay","1","Beta Tea","196.43","196.43","1.4","4","230","","PttAVM"
"Çay","1","Çaykur","206.9","206.9","4.6","2","4325","25","Avansas"
"Çay","1","Lipton","130.45","130.45","4.6","2","2795","52","Carrefour"
"Çay","1","Doğuş","174.9","174.9","4.6","2","2761","55","Şok"
"Çay","1","Altın Başak","162.25","162.25","4.6","2","1587","58","PttAVM"
"Çay","1","Lipton","1412.96","78.5","4.6","1","2216","","PttAVM"
